x,swabID,surno,year,PITtag,Nruns,useCorrected,Zoospores,Site_name,date_collected,Julian,SVL,sex,Weight,water_temp
1092,CBS6149,8,2006,62578558,3,0,24.88952,MonoPass,8/21/06,38950,65.6,F,37,NA
1802,CBS8082,13,2008,62578558,1,0,0.376,MonoPass,7/8/08,39637,63.4,M,29.5,20.5
752,CBS694,5,2005,62593808,3,0,0.641691733,MonoPass,9/25/05,38620,47.1,M,10,10
1066,CBS6123,8,2006,62593808,3,0,428.6509333,MonoPass,8/20/06,38949,NA,M,18,NA
419,CBS348,3,2004,62594835,3,0,20.48669333,MonoPass,9/12/04,38242,52.7,F,15,NA
645,CBS587,5,2005,62594835,4,0,0.0689766,MonoPass,8/8/05,38572,56.6,F,21,NA
1091,CBS6148,8,2006,62594835,3,0,0,MonoPass,8/21/06,38950,59.4,F,27,NA
1262,CBS6250,9,2006,62594835,4,0,14.591434,MonoPass,9/22/06,38982,62.3,F,30,10.5
1583,NM1,12,2007,62594835,1,0,0,MonoPass,9/17/07,39342,62.9,F,NA,NA
2029,MTS8020,15,2008,62594835,1,0,63.928,MonoPass,10/8/08,39729,65,F,35.5,9
86,CBS081,1,2004,62597118,3,0,39.90645333,MonoPass,7/13/04,38181,59.3,F,23,24
229,CBS188,2,2004,62597118,3,1,5.839762167,MonoPass,8/8/04,38207,65,F,24,19
85,CBS080,1,2004,62599854,3,0,2.464824533,MonoPass,7/13/04,38181,60.3,F,23,24
452,CBS381,3,2004,62599854,3,0,0,MonoPass,9/12/04,38242,60.8,F,25,NA
732,CBS674,5,2005,62599854,3,1,1.184666117,MonoPass,9/25/05,38620,61.9,F,25,9
1046,CBS6103,8,2006,62599854,3,0,103.7944,MonoPass,8/20/06,38949,66.8,F,40,NA
1077,CBS6134,8,2006,62599854,3,0,65.17984,MonoPass,8/21/06,38950,65.6,F,36,NA
1547,CBS7175,11,2007,62599854,1,0,10.11104,MonoPass,8/29/07,39323,66.3,F,NA,NA
1625,CBS7219,12,2007,62599854,1,0,18.48968,MonoPass,9/28/07,39353,65.8,F,NA,10
2059,MTS8050,15,2008,62599854,1,0,23.168,MonoPass,10/8/08,39729,63.4,F,38,9
683,CBS625,5,2005,62601341,1,0,9.43464,MonoPass,9/4/05,38599,52.2,M,15.5,NA
768,CBS710,5,2005,62602061,1,0,28.1352,MonoPass,9/25/05,38620,62.8,F,32,10
430,CBS359,3,2004,62602792,3,0,8.462853333,MonoPass,9/12/04,38242,52.3,M,16.5,NA
