year,site,date,id,species,,,
2018,WDLP,4/8/18,A183,PETR,,,
2018,WDLP,4/8/18,A184,PETR,,,
2018,WDLP,4/8/18,A185,PETR,,,
2018,WDLP,4/8/18,A251,PECA,,,
2018,WDLP,4/8/18,A252,NEFU,,,
2018,WDLP,4/8/18,A253,PETR,,,
2018,WDLP,4/8/18,A256-5,SCCA,,,
2018,WDLP,4/8/18,A257,PETR,,,
2018,WDLP,4/8/18,A258,NEFU,,,
2018,WDLP,4/8/18,A259,NEFU,,,
2018,WDLP,4/8/18,A260,PETR,,,
2018,WDLP,4/8/18,A261,PETR,,,
2018,WDLP,4/8/18,A262,NEFU,,,
2018,WDLP,4/8/18,A263,PETR,,,
2018,WDLP,4/8/18,A264,PETR,,,
2018,WDLP,4/8/18,A266,NEFU,,,
2018,WDLP,4/8/18,A281,NEFU,,,
2018,WDLP,4/8/18,A282,PETR,,,
2018,WDLP,4/8/18,A826,PETR,,,
2018,WDLP,4/8/18,A827,PETR,,,
2018,WDLP,4/8/18,NA,NEFU,,,
2018,WDLP,4/8/18,NA,NA,,,
2018,WDLP,4/8/18,NA,NEFU,,,
2018,WDLP,4/8/18,S720/2371,NEFU,,,
2018,WDLP,4/8/18,S980,PETR,,,
2018,WDLP,4/8/18,S986,NEFU,,,
2018,HOS,4/30/18,2801,PETR,,,
2018,HOS,4/30/18,2817,NEFU,,,
2018,HOS,4/30/18,2826,NEFU,,,
2018,HOS,4/30/18,2829,NEFU,,,
2018,HOS,4/30/18,2831,NEFU,,,
2018,HOS,4/30/18,2836,NEFU,,,
2018,HOS,4/30/18,3216,PETR,,,
2018,HOS,4/30/18,3225,NEFU,,,
2018,HOS,4/30/18,3267,PETR,,,
2018,HOS,4/30/18,3279,PECA,,,
2018,HOS,4/30/18,3280,PETR,,,
2018,HOS,4/30/18,3281,NEFU,,,
2018,HOS,4/30/18,3284,PETR,,,
2018,HOS,4/30/18,3285,NEFU,,,
2018,HOS,4/30/18,3288,NEFU,,,
2018,HOS,4/30/18,3290,NEFU,,,
2018,HOS,4/30/18,3291,NEFU,,,
2018,HOS,4/30/18,3294,PETR,,,
2018,HOS,4/30/18,3295,PETR,,,
2018,HOS,4/30/18,A025,NEFU,,,
2018,HOS,4/30/18,A321,PETR,,,
2018,HOS,4/30/18,A323,PETR,,,
2018,HOS,4/30/18,A324,PETR,,,
2018,HOS,4/30/18,A325,NEFU,,,
2018,HOS,4/30/18,A048,NEFU,,,
2018,HOS,4/30/18,A049,PETR,,,
2018,HOS,4/30/18,A050,PETR,,,
2018,HOS,4/30/18,A053,PETR,,,
2018,HOS,4/30/18,A054,NEFU,,,
2018,HOS,4/30/18,A055,NEFU,,,
2018,HOS,4/30/18,A056,NEFU,,,
2018,HOS,4/30/18,A057,PETR,,,
2018,HOS,4/30/18,A571,PETR,,,
2018,HOS,4/30/18,A573,NEFU,,,
2018,HOS,4/30/18,A574,PETR,,,
2018,HOS,4/30/18,A058,PECA,,,
2018,HOS,4/30/18,A064,PETR,,,
2018,HOS,4/30/18,A065,PETR,,,
2018,HOS,4/30/18,A066,NEFU,,,
2018,HOS,4/30/18,A067,NEFU,,,
2018,HOS,4/30/18,A068,NEFU,,,
2018,HOS,4/30/18,A075,PETR,,,
2018,HOS,4/30/18,N/A,PETR,,,
2018,HOS,4/30/18,S912,NEFU,,,
2018,TUP,4/15/18,2841,NEFU,,,
2018,TUP,4/15/18,2844,NEFU,,,
2018,TUP,4/15/18,2845,NEFU,,,
2018,TUP,4/15/18,2880,PEMA,,,
2018,TUP,4/15/18,2882,PEMA,,,
2018,TUP,4/15/18,2884,PEMA,,,
2018,TUP,4/15/18,2898,PEMA,,,
2018,TUP,4/15/18,3066,NEFU,,,
2018,TUP,4/15/18,A142,PEMA,,,
2018,TUP,4/15/18,A823,PEMA,,,
2018,TUP,4/15/18,A824,NEFU,,,
2018,TUP,4/15/18,A825,PEMA,,,
2018,TUP,4/15/18,A848,PEMA,,,
2018,TUP,4/15/18,A849,NEFU,,,
2018,TUP,4/15/18,A850,NEFU,,,
2018,TUP,4/15/18,A874,PEMA,,,
2018,TUP,4/15/18,A875,NEFU,,,
2018,TUP,4/15/18,A927,PEMA,,,
2018,TUP,4/15/18,A928,MICA,,,
2018,TUP,4/15/18,A940,NEFU,,,
2018,TUP,4/15/18,A947,PEMA,,,
2018,TUP,4/15/18,A948,NEFU,,,
2018,TUP,4/15/18,A949,PEMA,,,
2018,TUP,4/15/18,A963,NEFU,,,
2018,TUP,4/15/18,NA,PEMA,,,
2018,TUP,4/15/18,NA,NEFU,,,
2018,TUP,4/15/18,NA,NEFU,,,
2018,LFY,4/23/18,2873,NEFU,,,
2018,LFY,4/23/18,3212,PETR,,,
2018,LFY,4/23/18,3213,PETR,,,
2018,LFY,4/23/18,3221,PETR,,,
2018,LFY,4/23/18,3257,PETR,,,
2018,LFY,4/23/18,3260,PETR,,,
2018,LFY,4/23/18,3264,PETR,,,
2018,LFY,4/23/18,3268,PETR,,,
2018,LFY,4/23/18,3269,PETR,,,
2018,LFY,4/23/18,3276,NEFU,,,
2018,LFY,4/23/18,A273,NEFU,,,
2018,LFY,4/23/18,A275,PETR,,,
2018,LFY,4/23/18,A052,PETR,,,
2018,LFY,4/23/18,A562,PETR,,,
2018,LFY,4/23/18,A563,PETR,,,
2018,LFY,4/23/18,A564,PETR,,,
2018,LFY,4/23/18,A565,PETR,,,
2018,LFY,4/23/18,A566,PETR,,,
2018,LFY,4/23/18,A567,NEFU,,,
2018,LFY,4/23/18,A926,PETR,,,
2018,LFY,4/23/18,A974,PETR,,,
2018,LFY,4/23/18,NA,NEFU,,,
2018,CCSP,4/19/18,2358,NEFU,,,
2018,CCSP,4/19/18,3201,NEFU,,,
2018,CCSP,4/19/18,3202,PETR,,,
2018,CCSP,4/19/18,3203,NEFU,,,
2018,CCSP,4/19/18,3204,PEMA,,,
2018,CCSP,4/19/18,3205,NEFU,,,
2018,CCSP,4/19/18,3206,NEFU,,,
2018,CCSP,4/19/18,3207,PEMA,,,
2018,CCSP,4/19/18,3208,NEFU,,,
2018,CCSP,4/19/18,3209,NEFU,,,
2018,CCSP,4/19/18,3210,NEFU,,,
2018,CCSP,4/19/18,3251,PEMA,,,
2018,CCSP,4/19/18,3252,NEFU,,,
2018,CCSP,4/19/18,3253,PEMA,,,
2018,CCSP,4/19/18,3254,PEMA,,,
2018,CCSP,4/19/18,3255,PEMA,,,
2018,CCSP,4/19/18,3256,NEFU,,,
2018,CCSP,4/19/18,3259,PEMA,,,
2018,CCSP,4/19/18,3263,NEFU,,,
2018,CCSP,4/19/18,3265,REME,,,
2018,CCSP,4/19/18,3272,NEFU,,,
2018,CCSP,4/19/18,3273,PEMA,,,
2018,CCSP,4/19/18,A---,NEFU,,,
2018,CCSP,4/19/18,A013,PEMA,,,
2018,CCSP,4/19/18,A014,PEMA,,,
2018,CCSP,4/19/18,A143,NEFU,,,
2018,CCSP,4/19/18,A144,PEMA,,,
2018,CCSP,4/19/18,A145,PEMA,,,
2018,CCSP,4/19/18,A146,MICA,,,
2018,CCSP,4/19/18,A147,PEMA,,,
2018,CCSP,4/19/18,A148,PETR,,,
2018,CCSP,4/19/18,A149,PETR,,,
2018,CCSP,4/19/18,A015,PEMA,,,
2018,CCSP,4/19/18,A017,PEMA,,,
2018,CCSP,4/19/18,A018,NEFU,,,
2018,CCSP,4/19/18,A297,PEMA,,,
2018,CCSP,4/19/18,A298,PEMA,,,
2018,CCSP,4/19/18,A299,PEMA,,,
2018,CCSP,4/19/18,A300,PEMA,,,
2018,CCSP,3/29/18,A334,NEFU,,,
2018,CCSP,4/19/18,A334,NEFU,,,
2018,CCSP,4/19/18,A559,PETR,,,
2018,CCSP,4/19/18,A560,PEMA,,,
2018,CCSP,4/19/18,A651,PEMA,,,
2018,CCSP,4/19/18,A934,PEMA,,,
2018,CCSP,4/19/18,A935,PEMA,,,
2018,CCSP,4/19/18,A934,PEMA,,,
2018,CCSP,4/19/18,A938,NEFU,,,
2018,CCSP,4/19/18,A939,MICA,,,
2018,CCSP,4/19/18,A941,MICA,,,
2018,CCSP,4/19/18,A942,PEMA,,,
2018,CCSP,4/19/18,A943,PEMA,,,
2018,CCSP,4/19/18,A945,NEFU,,,
2018,CCSP,4/19/18,NA,NEFU,,,
2018,CCSP,4/19/18,NA,PERO,,,
2018,CCSP,4/19/18,NA,NEFU,,,
2018,CCSP,4/19/18,NA,NEFU,,,
2018,CCSP,3/29/18,S959,PETR,,,
2018,CCSP,4/19/18,S964,NEFU,,,
2018,CCSP,4/19/18,S988,NEFU,,,
2018,SLRP,4/27/18,2856,NEFU,,,
2018,SLRP,4/27/18,3214,PETR,,,
2018,SLRP,4/27/18,3215,PETR,,,
2018,SLRP,4/27/18,3217,MICA,,,
2018,SLRP,4/27/18,3218,PETR,,,
2018,SLRP,4/27/18,3219,PETR,,,
2018,SLRP,4/27/18,3223,PETR,,,
2018,SLRP,4/27/18,3258,PETR,,,
2018,SLRP,4/27/18,3261,PETR,,,
2018,SLRP,4/27/18,3262,PETR,,,
2018,SLRP,4/27/18,3270,PETR,,,
2018,SLRP,4/27/18,3274,PETR,,,
2018,SLRP,4/27/18,3275,PETR,,,
2018,SLRP,4/27/18,A019,PETR,,,
2018,SLRP,4/27/18,A020,NEFU,,,
2018,SLRP,4/27/18,A021,PETR,,,
2018,SLRP,4/27/18,A022,PETR,,,
2018,SLRP,4/27/18,A023,PETR,,,
2018,SLRP,4/27/18,A024,PETR,,,
2018,SLRP,4/27/18,A318,PETR,,,
2018,SLRP,4/27/18,A319,NEFU,,,
2018,SLRP,4/27/18,A320,PETR,,,
2018,SLRP,4/27/18,A572,PETR,,,
2018,SLRP,4/27/18,MEME1,MEME,,,
2018,SLRP,4/27/18,MEME2,MEME,,,
2018,SLRP,4/27/18,NA,SCGR,,,
2018,FL,4/12/18,A200,PEMA,,,
2018,FL,4/12/18,A265,PETR,,,
2018,FL,4/12/18,A270,PETR,,,
2018,FL,4/12/18,A271,PETR,,,
2018,FL,4/12/18,A272,PEMA,,,
2018,FL,4/12/18,A283,PECA,,,
2018,FL,4/12/18,A284,PECA,,,
2018,FL,4/12/18,A285,PEMA,,,
2018,FL,4/12/18,A286,PEMA,,,
2018,FL,4/12/18,A287,PEMA,,,
2018,FL,4/12/18,A288,PEMA,,,
2018,FL,4/12/18,A290,PETR,,,
2018,FL,4/12/18,A291,PECA,,,
2018,FL,4/12/18,A292,PETR,,,
2018,FL,4/12/18,A293,PETR,,,
2018,FL,4/12/18,A294,PECA,,,
2018,FL,4/12/18,A295,PETR,,,
2018,FL,4/12/18,A815,PETR,,,
2018,FL,4/12/18,A816,PETR,,,
2018,FL,4/12/18,A817,PETR,,,
